,date,FB,SQ
310,('2018-09-12', '162.0', '90.44')
1035,('2018-09-11', '165.94', '92.28')
1036,('2018-09-10', '164.18', '89.39')
1037,('2018-09-07', '163.04', '89.97')
1038,('2018-09-06', '162.53', '88.54')
311,('2018-09-05', '167.18', '87.2')
1039,('2018-09-04', '171.16', '91.25')
312,('2018-08-31', '175.73', '88.64')
313,('2018-08-30', '177.64', '87.76')
314,('2018-08-29', '175.9', '85.7')
315,('2018-08-28', '176.26', '80.8')
1040,('2018-08-27', '177.46', '78.25')
1041,('2018-08-24', '174.645', '78.18')
1042,('2018-08-23', '172.9', '77.12')
1043,('2018-08-22', '173.64', '76.44')
316,('2018-08-21', '172.62', '75.19')
1044,('2018-08-20', '172.5', '74.26')
317,('2018-08-17', '173.8', '72.9')
318,('2018-08-16', '174.7', '72.76')
1045,('2018-08-15', '179.53', '72.24')
1046,('2018-08-14', '181.11', '74.97')
1047,('2018-08-13', '180.05', '72.37')
319,('2018-08-10', '180.26', '70.6')
320,('2018-08-09', '183.09', '69.38')
321,('2018-08-08', '185.18', '70.82')
1048,('2018-08-07', '183.81', '71.0')
322,('2018-08-06', '185.69', '70.92')
323,('2018-08-03', '177.78', '68.36')
1049,('2018-08-02', '176.37', '72.65')
324,('2018-08-01', '171.65', '66.86')
325,('2018-07-31', '172.58', '64.65')
1050,('2018-07-30', '171.06', '65.62')
1051,('2018-07-27', '174.89', '69.85')
1052,('2018-07-26', '176.26', '71.99')
326,('2018-07-25', '217.5', '72.53')
327,('2018-07-24', '214.67', '69.36')
1053,('2018-07-23', '210.91', '71.6')
1054,('2018-07-20', '209.94', '70.41')
1055,('2018-07-19', '208.09', '70.32')
328,('2018-07-18', '209.36', '68.29')
329,('2018-07-17', '209.99', '68.33')
1056,('2018-07-16', '207.23', '66.95')
1057,('2018-07-13', '207.32', '66.97')
330,('2018-07-12', '206.92', '67.28')
331,('2018-07-11', '202.54', '65.33')
1058,('2018-07-10', '203.54', '64.76')
332,('2018-07-09', '204.74', '66.48')
1059,('2018-07-06', '203.23', '66.44')
333,('2018-07-05', '198.45', '64.15')
334,('2018-07-03', '192.73', '61.75')
335,('2018-07-02', '197.36', '63.14')
336,('2018-06-29', '194.32', '61.64')
1060,('2018-06-28', '196.23', '61.55')
337,('2018-06-27', '195.84', '60.09')
1061,('2018-06-26', '199.0', '62.55')
1062,('2018-06-25', '196.35', '61.89')
338,('2018-06-22', '201.74', '65.75')
339,('2018-06-21', '201.5', '67.1')
340,('2018-06-20', '202.0', '67.59')
1063,('2018-06-19', '197.49', '65.96')
341,('2018-06-18', '198.31', '66.2')
1064,('2018-06-15', '195.85', '64.48')
1065,('2018-06-14', '196.81', '63.88')
342,('2018-06-13', '192.41', '62.5')
1066,('2018-06-12', '192.4', '63.21')
343,('2018-06-11', '191.54', '61.29')
344,('2018-06-08', '189.1', '61.78')
1067,('2018-06-07', '188.18', '60.67')
1068,('2018-06-06', '191.34', '62.72')
1069,('2018-06-05', '192.94', '61.57')
1070,('2018-06-04', '193.28', '61.2')
345,('2018-06-01', '193.99', '59.41')
1071,('2018-05-31', '191.78', '58.25')
346,('2018-05-30', '187.67', '57.91')
1072,('2018-05-29', '185.74', '56.92')
347,('2018-05-25', '184.92', '55.77')
1073,('2018-05-24', '185.93', '55.55')
1074,('2018-05-23', '186.9', '55.09')
1075,('2018-05-22', '183.8', '54.63')
1076,('2018-05-21', '184.49', '56.39')
348,('2018-05-18', '182.68', '55.04')
1077,('2018-05-17', '183.76', '54.82')
349,('2018-05-16', '183.2', '56.59')
1078,('2018-05-15', '184.32', '54.65')
350,('2018-05-14', '186.64', '54.28')
351,('2018-05-11', '186.99', '54.73')
352,('2018-05-10', '185.53', '54.65')
1079,('2018-05-09', '182.66', '54.26')
353,('2018-05-08', '178.92', '53.32')
1080,('2018-05-07', '177.97', '51.12')
354,('2018-05-04', '176.61', '49.1')
1081,('2018-05-03', '174.02', '49.21')
355,('2018-05-02', '176.07', '48.66')
356,('2018-05-01', '173.86', '48.2')
357,('2018-04-30', '172.0', '47.34')
1082,('2018-04-27', '173.59', '47.57')
358,('2018-04-26', '174.16', '46.74')
359,('2018-04-25', '159.69', '44.75')
360,('2018-04-24', '159.69', '46.01')
361,('2018-04-23', '165.84', '50.35')
362,('2018-04-20', '166.28', '51.46')
1083,('2018-04-19', '168.1', '50.63')
1084,('2018-04-18', '166.36', '51.38')
363,('2018-04-17', '168.66', '49.13')
1085,('2018-04-16', '164.83', '47.03')
364,('2018-04-13', '164.52', '47.5')
365,('2018-04-12', '163.87', '49.69')
366,('2018-04-11', '166.32', '47.76')
1086,('2018-04-10', '165.04', '47.8')
1087,('2018-04-09', '157.93', '45.89')
1088,('2018-04-06', '157.2', '45.87')
1089,('2018-04-05', '159.34', '48.02')
1090,('2018-04-04', '155.1', '47.67')
1091,('2018-04-03', '156.11', '47.58')
1092,('2018-04-02', '155.39', '47.68')
367,('2018-03-29', '159.79', '49.2')
368,('2018-03-28', '153.03', '47.39')
369,('2018-03-27', '152.22', '51.06')
1093,('2018-03-26', '160.06', '53.55')
1094,('2018-03-23', '159.39', '51.67')
370,('2018-03-22', '164.89', '55.16')
371,('2018-03-21', '169.39', '57.09')
372,('2018-03-20', '168.15', '57.69')
373,('2018-03-19', '172.56', '54.58')
374,('2018-03-16', '185.09', '54.89')
1095,('2018-03-15', '183.86', '54.84')
1096,('2018-03-14', '184.19', '54.61')
375,('2018-03-13', '181.88', '51.83')
376,('2018-03-12', '184.76', '53.19')
377,('2018-03-09', '185.23', '52.49')
1097,('2018-03-08', '182.34', '52.25')
378,('2018-03-07', '183.71', '50.72')
379,('2018-03-06', '179.78', '49.6')
1098,('2018-03-05', '180.4', '50.42')
380,('2018-03-02', '176.62', '46.02')
381,('2018-03-01', '175.94', '46.01')
382,('2018-02-28', '178.32', '46.05')
1099,('2018-02-27', '181.46', '45.91')
383,('2018-02-26', '184.93', '46.55')
1100,('2018-02-23', '183.29', '44.86')
384,('2018-02-22', '178.99', '44.9')
1101,('2018-02-21', '177.91', '44.1')
385,('2018-02-20', '176.01', '44.93')
1102,('2018-02-16', '177.36', '44.11')
1103,('2018-02-15', '179.96', '44.29')
1104,('2018-02-14', '179.52', '41.85')
386,('2018-02-13', '173.15', '42.11')
387,('2018-02-12', '176.41', '39.92')
1105,('2018-02-09', '176.11', '39.57')
388,('2018-02-08', '171.58', '39.5')
389,('2018-02-07', '180.18', '41.67')
1106,('2018-02-06', '185.31', '41.61')
390,('2018-02-05', '181.26', '41.02')
1107,('2018-02-02', '190.28', '43.61')
391,('2018-02-01', '193.09', '44.45')
1108,('2018-01-31', '186.89', '46.91')
392,('2018-01-30', '187.12', '45.52')
1109,('2018-01-29', '185.98', '45.43')
1110,('2018-01-26', '190.0', '45.97')
393,('2018-01-25', '187.48', '45.12')
1111,('2018-01-24', '186.55', '44.32')
1112,('2018-01-23', '189.35', '45.01')
394,('2018-01-22', '185.37', '45.29')
395,('2018-01-19', '181.29', '42.56')
1113,('2018-01-18', '179.8', '40.27')
396,('2018-01-17', '177.6', '40.06')
397,('2018-01-16', '178.39', '39.32')
398,('2018-01-12', '179.37', '41.25')
1114,('2018-01-11', '187.77', '42.3')
399,('2018-01-10', '187.84', '40.84')
400,('2018-01-09', '187.87', '40.88')
401,('2018-01-08', '188.28', '40.76')
1115,('2018-01-05', '186.85', '41.14')
402,('2018-01-04', '184.33', '38.1')
403,('2018-01-03', '184.67', '37.31')
404,('2018-01-02', '181.42', '36.17')
405,('2017-12-29', '176.46', '34.67')
406,('2017-12-28', '177.92', '35.13')
407,('2017-12-27', '177.62', '35.75')
408,('2017-12-26', '175.99', '35.05')
1116,('2017-12-22', '177.2', '35.14')
1117,('2017-12-21', '177.45', '35.87')
409,('2017-12-20', '177.89', '35.66')
1118,('2017-12-19', '179.51', '36.92')
410,('2017-12-18', '180.82', '37.75')
1119,('2017-12-15', '180.18', '37.03')
411,('2017-12-14', '178.39', '37.01')
1120,('2017-12-13', '178.3', '36.19')
1121,('2017-12-12', '176.96', '38.08')
1122,('2017-12-11', '179.04', '38.3')
1123,('2017-12-08', '179.0', '38.09')
412,('2017-12-07', '180.14', '38.73')
1124,('2017-12-06', '176.06', '37.61')
1125,('2017-12-05', '172.83', '37.6')
1126,('2017-12-04', '171.47', '36.87')
1127,('2017-12-01', '175.1', '38.22')
413,('2017-11-30', '177.18', '39.22')
1128,('2017-11-29', '175.13', '39.13')
414,('2017-11-28', '182.42', '42.55')
415,('2017-11-27', '183.03', '41.02')
416,('2017-11-24', '182.78', '48.86')
417,('2017-11-22', '180.87', '48.81')
418,('2017-11-21', '181.86', '48.06')
1129,('2017-11-20', '178.74', '45.21')
419,('2017-11-17', '179.0', '44.18')
1130,('2017-11-16', '179.59', '41.9')
420,('2017-11-15', '177.95', '40.66')
421,('2017-11-14', '178.07', '39.74')
1131,('2017-11-13', '178.77', '39.98')
1132,('2017-11-10', '178.46', '39.21')
422,('2017-11-09', '179.3', '37.96')
1133,('2017-11-08', '179.56', '36.71')
423,('2017-11-07', '180.25', '36.76')
1134,('2017-11-06', '180.17', '37.18')
424,('2017-11-03', '178.92', '36.89')
1135,('2017-11-02', '178.92', '36.07')
425,('2017-11-01', '182.66', '36.47')
1136,('2017-10-31', '180.06', '37.19')
426,('2017-10-30', '179.87', '35.75')
427,('2017-10-27', '177.88', '35.2')
428,('2017-10-26', '170.63', '34.11')
429,('2017-10-25', '170.6', '32.9')
430,('2017-10-24', '171.8', '32.71')
431,('2017-10-23', '171.27', '32.53')
1137,('2017-10-20', '174.98', '32.5')
432,('2017-10-19', '174.56', '32.12')
433,('2017-10-18', '176.03', '32.52')
434,('2017-10-17', '176.11', '32.69')
435,('2017-10-16', '174.52', '33.22')
436,('2017-10-13', '173.74', '32.81')
1138,('2017-10-12', '172.55', '32.81')
1139,('2017-10-11', '172.74', '32.0')
1140,('2017-10-10', '171.59', '31.32')
1141,('2017-10-09', '172.5', '31.07')
1142,('2017-10-06', '172.23', '30.76')
437,('2017-10-05', '171.24', '30.76')
1143,('2017-10-04', '168.42', '30.15')
438,('2017-10-03', '169.96', '29.94')
1144,('2017-10-02', '169.47', '29.39')
1145,('2017-09-29', '170.87', '28.81')
439,('2017-09-28', '168.73', '28.49')
440,('2017-09-27', '167.68', '28.07')
441,('2017-09-26', '164.21', '27.61')
442,('2017-09-25', '162.87', '27.45')
443,('2017-09-22', '170.54', '28.75')
1146,('2017-09-21', '171.11', '28.4')
444,('2017-09-20', '172.17', '28.47')
445,('2017-09-19', '172.52', '28.56')
446,('2017-09-18', '170.01', '28.69')
1147,('2017-09-15', '171.64', '28.5')
1148,('2017-09-14', '170.96', '28.64')
447,('2017-09-13', '173.05', '27.49')
448,('2017-09-12', '172.96', '27.27')
1149,('2017-09-11', '173.51', '27.57')
1150,('2017-09-08', '170.95', '26.53')
1151,('2017-09-07', '173.21', '26.3')
1152,('2017-09-06', '172.09', '26.05')
1153,('2017-09-05', '170.72', '25.77')
449,('2017-09-01', '172.02', '25.93')
450,('2017-08-31', '171.97', '26.11')
451,('2017-08-30', '169.92', '25.76')
1154,('2017-08-29', '168.05', '25.04')
1155,('2017-08-28', '167.24', '24.91')
1156,('2017-08-25', '166.32', '24.99')
1157,('2017-08-24', '167.74', '25.66')
452,('2017-08-23', '168.71', '25.48')
453,('2017-08-22', '169.64', '25.34')
1158,('2017-08-21', '167.78', '24.46')
1159,('2017-08-18', '167.41', '24.83')
1160,('2017-08-17', '166.91', '24.54')
1161,('2017-08-16', '170.0', '24.99')
1162,('2017-08-15', '171.0', '24.83')
1163,('2017-08-14', '170.75', '25.2')
454,('2017-08-11', '168.08', '24.82')
1164,('2017-08-10', '167.4', '24.65')
455,('2017-08-09', '171.18', '25.59')
456,('2017-08-08', '171.23', '26.02')
457,('2017-08-07', '171.98', '25.68')
458,('2017-08-04', '169.62', '25.21')
459,('2017-08-03', '168.59', '25.22')
460,('2017-08-02', '169.3', '26.46')
461,('2017-08-01', '169.86', '26.81')
1165,('2017-07-31', '169.25', '26.35')
462,('2017-07-28', '172.45', '26.2')
1166,('2017-07-27', '170.44', '25.92')
463,('2017-07-26', '165.61', '27.31')
1167,('2017-07-25', '165.28', '26.89')
1168,('2017-07-24', '166.0', '26.75')
1169,('2017-07-21', '164.43', '26.85')
1170,('2017-07-20', '164.53', '26.39')
464,('2017-07-19', '164.14', '26.36')
1171,('2017-07-18', '162.86', '26.59')
465,('2017-07-17', '159.73', '26.19')
466,('2017-07-14', '159.97', '26.33')
1172,('2017-07-13', '159.26', '25.98')
1173,('2017-07-12', '158.9', '26.21')
1174,('2017-07-11', '155.27', '25.44')
1175,('2017-07-10', '153.5', '23.94')
1176,('2017-07-07', '151.44', '23.59')
467,('2017-07-06', '148.82', '23.22')
468,('2017-07-05', '150.34', '23.76')
1177,('2017-07-03', '148.43', '22.83')
469,('2017-06-30', '150.98', '23.46')
1178,('2017-06-29', '151.04', '23.4')
1179,('2017-06-28', '153.24', '24.3')
1180,('2017-06-27', '150.58', '23.32')
470,('2017-06-26', '153.59', '23.93')
1181,('2017-06-23', '155.07', '24.17')
1182,('2017-06-22', '153.4', '24.28')
1183,('2017-06-21', '153.91', '24.16')
1184,('2017-06-20', '152.25', '23.85')
1185,('2017-06-19', '152.87', '24.2')
1186,('2017-06-16', '150.64', '23.56')
471,('2017-06-15', '149.8', '23.99')
472,('2017-06-14', '150.25', '23.47')
473,('2017-06-13', '150.68', '23.48')
1187,('2017-06-12', '148.44', '23.6')
474,('2017-06-09', '149.6', '23.03')
1188,('2017-06-08', '154.71', '24.78')
475,('2017-06-07', '153.12', '24.29')
1189,('2017-06-06', '152.81', '24.21')
1190,('2017-06-05', '153.63', '23.39')
1191,('2017-06-02', '153.61', '23.2')
476,('2017-06-01', '151.53', '23.23')
477,('2017-05-31', '151.46', '22.99')
1192,('2017-05-30', '152.38', '22.74')
1193,('2017-05-26', '152.13', '22.33')
1194,('2017-05-25', '151.96', '22.33')
478,('2017-05-24', '150.04', '21.92')
1195,('2017-05-23', '148.07', '21.64')
479,('2017-05-22', '148.24', '20.95')
1196,('2017-05-19', '148.06', '19.91')
480,('2017-05-18', '147.66', '19.68')
1197,('2017-05-17', '144.85', '19.56')
481,('2017-05-16', '149.78', '20.34')
1198,('2017-05-15', '150.19', '20.25')
482,('2017-05-12', '150.33', '20.08')
483,('2017-05-11', '150.04', '19.71')
484,('2017-05-10', '150.29', '19.95')
485,('2017-05-09', '150.48', '19.8')
1199,('2017-05-08', '151.06', '19.56')
486,('2017-05-05', '150.24', '19.78')
487,('2017-05-04', '150.85', '19.9')
488,('2017-05-03', '151.8', '18.28')
489,('2017-05-02', '152.78', '18.81')
490,('2017-05-01', '152.46', '18.61')
1200,('2017-04-28', '150.25', '18.24')
1201,('2017-04-27', '147.7', '18.23')
1202,('2017-04-26', '146.56', '18.08')
491,('2017-04-25', '146.49', '18.22')
1203,('2017-04-24', '145.47', '17.85')
1204,('2017-04-21', '143.68', '17.49')
492,('2017-04-20', '143.8', '17.71')
1205,('2017-04-19', '142.27', '17.2')
1206,('2017-04-18', '140.96', '16.98')
493,('2017-04-17', '141.42', '17.08')
494,('2017-04-13', '139.39', '16.92')
495,('2017-04-12', '139.58', '17.3')
1207,('2017-04-11', '139.92', '16.92')
496,('2017-04-10', '141.04', '16.99')
1208,('2017-04-07', '140.78', '16.69')
497,('2017-04-06', '141.17', '17.0')
498,('2017-04-05', '141.85', '16.75')
499,('2017-04-04', '141.73', '17.04')
500,('2017-04-03', '142.28', '17.03')
1209,('2017-03-31', '142.05', '17.28')
1210,('2017-03-30', '142.41', '17.32')
501,('2017-03-29', '142.65', '17.22')
502,('2017-03-28', '141.76', '17.23')
1211,('2017-03-27', '140.32', '17.25')
503,('2017-03-24', '140.34', '16.59')
504,('2017-03-23', '139.53', '16.61')
505,('2017-03-22', '139.59', '16.41')
506,('2017-03-21', '138.51', '16.51')
507,('2017-03-20', '139.94', '17.24')
508,('2017-03-17', '139.84', '17.28')
509,('2017-03-16', '139.99', '17.21')
510,('2017-03-15', '139.72', '16.95')
1212,('2017-03-14', '139.32', '16.77')
1213,('2017-03-13', '139.6', '16.93')
511,('2017-03-10', '138.79', '16.91')
512,('2017-03-09', '138.24', '17.07')
1214,('2017-03-08', '137.72', '16.83')
513,('2017-03-07', '137.3', '16.76')
514,('2017-03-06', '137.42', '16.86')
515,('2017-03-03', '137.17', '16.89')
516,('2017-03-02', '136.76', '16.99')
1215,('2017-03-01', '137.42', '17.22')
517,('2017-02-28', '135.54', '17.32')
518,('2017-02-27', '136.41', '17.93')
1216,('2017-02-24', '135.44', '17.43')
519,('2017-02-23', '135.36', '17.15')
1217,('2017-02-22', '136.12', '15.04')
520,('2017-02-21', '133.72', '14.63')
521,('2017-02-17', '133.53', '14.47')
1218,('2017-02-16', '133.84', '13.89')
1219,('2017-02-15', '133.44', '14.31')
522,('2017-02-14', '133.85', '14.33')
1220,('2017-02-13', '134.05', '14.5')
1221,('2017-02-10', '134.19', '14.61')
523,('2017-02-09', '134.14', '14.73')
1222,('2017-02-08', '134.2', '14.47')
524,('2017-02-07', '131.84', '14.4')
1223,('2017-02-06', '132.06', '14.4')
525,('2017-02-03', '130.98', '14.28')
1224,('2017-02-02', '130.84', '14.36')
1225,('2017-02-01', '133.23', '14.36')
526,('2017-01-31', '130.32', '14.62')
527,('2017-01-30', '130.98', '14.45')
1226,('2017-01-27', '132.18', '14.53')
1227,('2017-01-26', '132.78', '14.41')
528,('2017-01-25', '131.48', '14.6')
1228,('2017-01-24', '129.37', '14.66')
1229,('2017-01-23', '128.93', '14.61')
1230,('2017-01-20', '127.04', '14.89')
1231,('2017-01-19', '127.55', '14.73')
1232,('2017-01-18', '127.92', '14.64')
529,('2017-01-17', '127.87', '14.69')
530,('2017-01-13', '128.34', '14.75')
531,('2017-01-12', '126.62', '14.74')
532,('2017-01-11', '126.09', '14.9')
1233,('2017-01-10', '124.35', '14.91')
1234,('2017-01-09', '124.9', '15.06')
1235,('2017-01-06', '123.41', '15.0')
533,('2017-01-05', '120.67', '14.56')
1236,('2017-01-04', '118.69', '14.25')
534,('2017-01-03', '116.86', '13.81')
1237,('2016-12-30', '115.05', '13.63')
1238,('2016-12-29', '116.35', '13.73')
1239,('2016-12-28', '116.92', '13.95')
1240,('2016-12-27', '118.01', '14.0')
1241,('2016-12-23', '117.27', '14.07')
1242,('2016-12-22', '117.4', '14.05')
535,('2016-12-21', '119.04', '14.38')
1243,('2016-12-20', '119.09', '14.48')
1244,('2016-12-19', '119.24', '14.36')
1245,('2016-12-16', '119.87', '14.38')
536,('2016-12-15', '120.57', '14.13')
1246,('2016-12-14', '120.21', '13.83')
537,('2016-12-13', '120.31', '14.07')
538,('2016-12-12', '117.77', '13.85')
1247,('2016-12-09', '119.68', '13.89')
1248,('2016-12-08', '118.91', '13.94')
539,('2016-12-07', '117.95', '14.12')
1249,('2016-12-06', '117.31', '13.27')
540,('2016-12-05', '117.43', '13.2')
1250,('2016-12-02', '115.4', '13.06')
541,('2016-12-01', '115.1', '12.71')
542,('2016-11-30', '118.42', '12.94')
1251,('2016-11-29', '120.87', '12.46')
543,('2016-11-28', '120.41', '12.53')
544,('2016-11-25', '120.38', '12.75')
545,('2016-11-23', '120.84', '12.43')
546,('2016-11-22', '121.47', '12.46')
1252,('2016-11-21', '121.77', '12.22')
547,('2016-11-18', '117.02', '12.16')
548,('2016-11-17', '117.79', '12.22')
1253,('2016-11-16', '116.34', '12.04')
549,('2016-11-15', '117.2', '12.03')
1254,('2016-11-14', '115.08', '12.35')
1255,('2016-11-11', '119.02', '11.88')
550,('2016-11-10', '120.8', '11.65')
1256,('2016-11-09', '123.18', '12.0')
1257,('2016-11-08', '124.22', '12.34')
551,('2016-11-07', '122.15', '12.22')
1258,('2016-11-04', '120.75', '12.18')
552,('2016-11-03', '120.0', '11.99')
553,('2016-11-02', '127.17', '11.78')
1259,('2016-11-01', '129.5', '11.07')
1260,('2016-10-31', '130.99', '11.2')
1261,('2016-10-28', '131.29', '11.14')
554,('2016-10-27', '129.69', '11.15')
555,('2016-10-26', '131.04', '11.21')
556,('2016-10-25', '132.29', '11.07')
557,('2016-10-24', '133.28', '11.35')
1262,('2016-10-21', '132.07', '11.32')
558,('2016-10-20', '130.0', '11.19')
559,('2016-10-19', '130.11', '11.3')
1263,('2016-10-18', '128.57', '11.34')
1264,('2016-10-17', '127.54', '10.93')
560,('2016-10-14', '127.88', '11.12')
1265,('2016-10-13', '127.82', '11.19')
1266,('2016-10-12', '129.05', '11.27')
561,('2016-10-11', '128.88', '11.18')
562,('2016-10-10', '130.24', '11.47')
563,('2016-10-07', '128.99', '11.48')
1267,('2016-10-06', '128.74', '11.52')
564,('2016-10-05', '128.47', '11.69')
1268,('2016-10-04', '128.19', '11.63')
565,('2016-10-03', '128.77', '11.67')
566,('2016-09-30', '128.27', '11.66')
567,('2016-09-29', '128.09', '11.64')
568,('2016-09-28', '129.23', '11.83')
1269,('2016-09-27', '128.69', '11.78')
569,('2016-09-26', '127.31', '11.55')
1270,('2016-09-23', '127.96', '11.83')
1271,('2016-09-22', '130.08', '11.68')
1272,('2016-09-21', '129.94', '11.9')
1273,('2016-09-20', '128.64', '11.66')
570,('2016-09-19', '128.65', '11.55')
571,('2016-09-16', '129.07', '11.37')
572,('2016-09-15', '128.35', '11.38')
573,('2016-09-14', '127.77', '11.28')
1274,('2016-09-13', '127.21', '11.23')
1275,('2016-09-12', '128.69', '11.33')
574,('2016-09-09', '127.1', '11.27')
1276,('2016-09-08', '130.27', '11.78')
575,('2016-09-07', '131.05', '11.93')
1277,('2016-09-06', '129.73', '11.83')
576,('2016-09-02', '126.51', '12.05')
1278,('2016-09-01', '126.17', '12.0')
1279,('2016-08-31', '126.12', '12.19')
1280,('2016-08-30', '125.84', '12.07')
1281,('2016-08-29', '126.54', '12.01')
577,('2016-08-26', '124.96', '12.04')
578,('2016-08-25', '123.89', '12.31')
1282,('2016-08-24', '123.48', '12.16')
579,('2016-08-23', '124.37', '12.39')
580,('2016-08-22', '124.15', '11.82')
1283,('2016-08-19', '123.56', '11.8')
1284,('2016-08-18', '123.91', '11.75')
1285,('2016-08-17', '124.37', '11.4')
581,('2016-08-16', '123.3', '11.64')
582,('2016-08-15', '123.9', '11.48')
583,('2016-08-12', '124.88', '11.66')
584,('2016-08-11', '124.9', '11.37')
1286,('2016-08-10', '124.88', '11.07')
585,('2016-08-09', '125.06', '11.3')
1287,('2016-08-08', '125.26', '11.26')
586,('2016-08-05', '125.15', '11.15')
1288,('2016-08-04', '124.36', '11.32')
1289,('2016-08-03', '122.51', '10.44')
1290,('2016-08-02', '123.09', '10.05')
587,('2016-08-01', '124.31', '10.19')
588,('2016-07-29', '123.94', '10.07')
1291,('2016-07-28', '125.0', '10.12')
1292,('2016-07-27', '123.34', '10.13')
589,('2016-07-26', '121.22', '10.1')
1293,('2016-07-25', '121.63', '9.85')
1294,('2016-07-22', '121.0', '9.73')
590,('2016-07-21', '120.61', '9.46')
1295,('2016-07-20', '121.92', '9.58')
1296,('2016-07-19', '120.61', '9.35')
1297,('2016-07-18', '119.37', '9.27')
591,('2016-07-15', '116.86', '9.17')
1298,('2016-07-14', '117.29', '9.37')
592,('2016-07-13', '116.78', '9.29')
593,('2016-07-12', '117.93', '9.4')
594,('2016-07-11', '117.87', '9.24')
1299,('2016-07-08', '117.24', '9.3')
595,('2016-07-07', '115.85', '9.08')
596,('2016-07-06', '116.7', '9.0')
597,('2016-07-05', '114.0', '8.94')
598,('2016-07-01', '114.19', '9.27')
599,('2016-06-30', '114.28', '9.05')
1300,('2016-06-29', '114.16', '9.3')
600,('2016-06-28', '112.7', '8.9')
601,('2016-06-27', '108.97', '8.62')
602,('2016-06-24', '112.08', '8.77')
603,('2016-06-23', '115.08', '9.13')
604,('2016-06-22', '113.91', '8.78')
1301,('2016-06-21', '114.38', '9.35')
1302,('2016-06-20', '113.37', '9.2')
1303,('2016-06-17', '113.02', '9.04')
605,('2016-06-16', '114.39', '9.05')
606,('2016-06-15', '114.6', '9.06')
1304,('2016-06-14', '114.94', '8.89')
1305,('2016-06-13', '113.95', '8.92')
607,('2016-06-10', '116.62', '9.14')
608,('2016-06-09', '118.56', '9.34')
1306,('2016-06-08', '118.39', '9.55')
609,('2016-06-07', '117.76', '9.57')
1307,('2016-06-06', '118.79', '9.51')
1308,('2016-06-03', '118.47', '9.46')
1309,('2016-06-02', '118.93', '9.65')
610,('2016-06-01', '118.78', '9.6')
1310,('2016-05-31', '118.81', '9.53')
1311,('2016-05-27', '119.38', '9.63')
1312,('2016-05-26', '119.47', '9.75')
1313,('2016-05-25', '117.89', '10.0')
611,('2016-05-24', '117.7', '10.14')
612,('2016-05-23', '115.97', '9.46')
613,('2016-05-20', '117.35', '9.39')
1314,('2016-05-19', '116.81', '9.6')
614,('2016-05-18', '117.65', '9.4')
1315,('2016-05-17', '117.35', '9.18')
615,('2016-05-16', '118.67', '9.16')
1316,('2016-05-13', '119.81', '9.36')
1317,('2016-05-12', '120.28', '9.28')
616,('2016-05-11', '119.52', '9.68')
1318,('2016-05-10', '120.5', '10.0')
1319,('2016-05-09', '119.24', '9.85')
1320,('2016-05-06', '119.49', '10.22')
617,('2016-05-05', '117.81', '13.05')
1321,('2016-05-04', '118.06', '13.39')
618,('2016-05-03', '117.43', '13.45')
619,('2016-05-02', '118.57', '14.0')
1322,('2016-04-29', '117.58', '14.89')
620,('2016-04-28', '116.73', '15.35')
621,('2016-04-27', '108.89', '14.69')
622,('2016-04-26', '108.76', '14.18')
623,('2016-04-25', '110.1', '13.59')
1323,('2016-04-22', '110.56', '13.34')
624,('2016-04-21', '113.44', '13.24')
625,('2016-04-20', '112.42', '13.63')
626,('2016-04-19', '112.29', '14.09')
627,('2016-04-18', '110.45', '14.51')
628,('2016-04-15', '109.64', '14.33')
629,('2016-04-14', '110.84', '14.82')
630,('2016-04-13', '110.51', '15.01')
1324,('2016-04-12', '110.61', '15.48')
1325,('2016-04-11', '108.99', '15.36')
631,('2016-04-08', '110.63', '15.13')
632,('2016-04-07', '113.64', '14.81')
633,('2016-04-06', '113.71', '14.97')
634,('2016-04-05', '112.22', '14.26')
1326,('2016-04-04', '112.55', '14.28')
635,('2016-04-01', '116.06', '14.22')
636,('2016-03-31', '114.1', '15.28')
1327,('2016-03-30', '114.7', '15.02')
637,('2016-03-29', '116.14', '13.74')
638,('2016-03-28', '113.69', '13.4')
1328,('2016-03-24', '113.05', '12.88')
639,('2016-03-23', '112.54', '12.59')
640,('2016-03-22', '112.25', '13.06')
641,('2016-03-21', '111.85', '13.4')
1329,('2016-03-18', '111.45', '12.04')
1330,('2016-03-17', '111.02', '11.95')
642,('2016-03-16', '112.18', '11.87')
643,('2016-03-15', '110.67', '11.95')
1331,('2016-03-14', '109.89', '11.61')
1332,('2016-03-11', '109.41', '11.1')
644,('2016-03-10', '107.32', '11.3')
1333,('2016-03-09', '107.51', '12.03')
645,('2016-03-08', '105.93', '11.48')
646,('2016-03-07', '105.73', '12.26')
1334,('2016-03-04', '108.39', '12.01')
647,('2016-03-03', '109.58', '12.25')
648,('2016-03-02', '109.95', '11.97')
649,('2016-03-01', '109.82', '10.72')
1335,('2016-02-29', '106.92', '10.44')
1336,('2016-02-26', '107.92', '10.32')
650,('2016-02-25', '108.07', '10.26')
651,('2016-02-24', '106.88', '9.89')
1337,('2016-02-23', '105.46', '9.71')
652,('2016-02-22', '107.16', '10.38')
653,('2016-02-19', '104.57', '9.97')
654,('2016-02-18', '103.47', '9.98')
655,('2016-02-17', '105.2', '9.84')
1338,('2016-02-16', '101.61', '9.93')
656,('2016-02-12', '102.01', '9.3')
